Ballroom,бүжгийн танхим
Boar,зэрлэг гахай
Stockade,шорон
Prison,шорон
Clash,мөргөлдөөн тулалдаан
Lake,нуур
Merge,нэгтгэх нийлүүлэх
Contest,тэмцээн
Drag,татах чирэх
Eternal,мөнх
Demon,буг чөтгөр
Witch,шулам
Cigarette,тамхи
Invent,шинийг бүтээх
Shore,далайн эрэг
Scope,цар хүрээ
Jaundice,шар өвчин
Tuberculosis,сүрьеэ
Cold,ханиад хүрэх
Diarrhea,суулгалт
Vomiting,бөөлжих
Thermometer,халуун хэмжигч
Illness,өвчин
Toothache,шүд өвдөх
Backache,нуруу өвдөх
Headache,толгой өвдөх
Stomachache,гэдэс өвдөх
Constipation,өтгөн хатах
Nausea,дотор муухайрах
Worsen,муудах
Toxic,хортой
Zinc,цайр
Rug,хивс
Monitor,хянах
Effort,хичээл зүтгэл
Stream,урсгал
Circle,тойрог
Pile,овоо овоолох
Concrete,бетон цемент
Era,эрин
Revolution,хувьсгал
Iron,төмөр
Railroad,төмөр зам
Load,ачаа
Shame,ичих
Loyal,үнэнч
Paternal,эцгийн
Erode,эвдрэх зэврэх
Inquiry,захиалга
Civil,иргэний
Competitor,өрсөлдөгч
Committee,хороо комисс
Town,жижиг хот
Intelligence,ухаалаг
Quite,бага зэрэг
Behave,аашлах
Spot,цэг сэвх толбо
Edge,эрмэг
Corner,эрмэг булан
Quote,ишлэл
Excerpt,ишлэл
Topic,сэдэв
Recognize,таних
Interpret,тайлбарлах
Either,аль нэг нь
Neither,аль нь ч биш 2-уулаа
Seed,тарих үр
Sow,тарих
Reap,хурааж авах
Yeast,исгэх
Ham,хиам
Currency,валют
Vivid,өнгөлөг тод
Slice,хэрчим
Clue,сэжүүр
Hint,шипи
Leisure time,чөлөөт цаг
Founder,үүсгэн байгуулагч
Caption / title,гарчиг
Bite,хазах
Scarlet,тод улаан
Vessel,ваар сав
Author,зохиолч
Brick,тоосго
Wreck,эвдэх
Expedition,судалгааны баг
Forehead,дух
Odd,сонин хачин
Chalk,шохой
Revenge,өшөө хонзон
Pathetic,ичгүүртэй
Inspection,шалгалт
Kernel,идээ чөмөг
Entertain,хөгжилдөх
High-heel,өндөр өсгийтэй гутал
Lottery,сугалаа
Chapter,бүлэг
Orchard,цэцэрлэг
Doll,барби
Silly,тэнэг
Swamp / mud,намаг шавар
Escape,орхих зугтах
Garlic,сармис
Frost,цанa
Predator,махчин
Stubborn,зөрүүд гөжүүд
So what,тэгээд юу гэж
CEO,гүйцэтгэх захирал
Magnificent,сүр жавхлантай
Intruder,халдан довтлогч
Liberty,эрх чөлөө
Light,зөөлөн
Noise,дуу чимээ
Nose,хамар
Passenger,зорчигч
Path,зам жим
Permanent,үүрд мөнх
Poison,хор
Prefer,илүүд үзэх
Rice,будаа
Mind,бодол санаа
Itching,загатнах
Sore throat,хоолой өвдөх
Cough,ханиад хүрэх
Runny nose,нус гоожих
Fever,халуурах
Shortness of breath,амьсгаадах
Dizzy,толгой эргэх
Fatigue,ядарч сульдах
Chills,жихүүдэс хүрэх чичрэх
Fainted,ухаан алдах
Threat,аюул занал
Naughty,аальгүй сахилгагүй
Nest,үүр
Option,сонголт
Cartel,холбоо бүлэглэл
Puppet,утсан хүүхэлдэй
Soil,хөрс
Access,зөвшөөрөх
Exclude,хасах
Willing power,сэтгэлийн хүч
Footpath,хөлийн мөр
Heavy,хүнд
Heat,дулаан халаах
Hell,там
Paradise,диваажин
Hijack,барьцаалах дээрэмдэх
Nurse,сувилагч
Sponsor,ивээн тэтгэгч
Serve,үйлчлэх зүтгэх
Shard,хэлтэрхий
Sofa,буйдан
Cushion,буйдангийн дэр
Chandelier,лааны суурь
Estate,үл хөдлөх хөрөнгө
Ethic,ёс зүй
Monk,лам
Internal,дотоод
External,гадаад
Inherit,өв залгамжлах
Inheritance,өв залгамжлал
Folklore,аман яриа
Civil war,иргэний дайн
Versus,эсрэг
Fortify,бэхлэх
Grotesque,утга учиргүй
Car cover,машины хучлага
Fork,сэрээ
Spoon,халбага
Broom,шүүр
Oak,нарс
Palm tree,дал мод
Human nature,хүний мөн чанар
Abstract,товчлол
Duty,үүрэг
Obese,тарган мариалаг
Smuggle,нууцаар тээвэрлэх
Entrepreneurial,бизнес эрхлэх
Adolescent,өсвөр насны
Zeal,хичээл зүтгэл
Apart,саланги тусдаа
Improvisation,цээжээр зохиох
Dimension,хэмжээ
Motion,хөдөлгөөн
Rum,ром дарс
Inmate,хоригдол өвчтөн
Which of you,та нарын хэн нь
Factory,үйлдвэр
Supplier,ханган нийлүүлэгч
Coworker,хамт ажиллагсад
Colleagues,хамт ажилладаг хүн
Head office,төв салбар
Employee,ажилчид
Corporate culture,байгууллагын соёл
Corporate headquarters,удирдах зөвлөлийн гишүүд
Workers output,ажилчдын бүтээмж
Shareholder,хувьцаа эзэмшигч
Insurance,даатгал
Wholesaler,бөөнний худалдаачин
Retailer,жижиглэн худалдаачин
Expenditure,зардал
Asset,эд хөрөнгө
